hint1,hint2,hint3,answer,category,id
Cauchy and Weierstrass rigorously formalized this concept in the early 1800s.,It is essential in defining mathematical continuity and differentiability.,This calculus concept describes values approached as functions near specific inputs.,limit,Mathematics,Limit_of_a_function
"This quantity can represent matrices, functions, vectors, or an identity element.","It can be called a parameter when fixed, and an unknown when solved for.","Usually denoted by letters, it represents unspecified or changing mathematical values.",Variable,Mathematics,Variable_(mathematics)
The Greek mathematician Archimedes applied these when solving the quadrature of the parabola.,These summations are categorized as divergent if partial sums lack limits.,"Expressed with capital-sigma notation, these involve infinitely many additions.",infinite series,Mathematics,Series_(mathematics)
"This number is represented by ""j"" in electrical engineering to avoid confusion with current.",It forms complex numbers when combined with real numbers.,This number squared equals negative one.,"Imaginary unit [accept ""i"" or ""unit imaginary number""]",Mathematics,Imaginary_unit
"This concept was once expanded to include ""hypercomplex"" ones in the 19th century.",Numerology assigns symbolic cultural meanings to these mathematical objects.,"Examples include real, rational, natural, negative, and complex types.",Numbers,Mathematics,Number
Zhuge Liang greatly valued this philosopher's work as guidance on governance.,"He emphasized ""two handles""—punishment and reward—and promoted the idea of wu wei.",This Legalist philosopher names a text compared to Machiavelli's The Prince.,Han Fei,People,Han_Fei
"This artist popularized and named the famous dance move ""moonwalk.""",His album *Thriller* became the best-selling album of all time.,"Known as the ""King of Pop,"" he began his career with the Jackson 5.",Michael Jackson,People,Michael_Jackson
He negotiated Ludwig Mies van der Rohe's first U.S. commission.,"In 1932, he co-curated MoMA's pioneering exhibition defining the International Style.",Architect whose famous works include the Glass House and AT&T Building.,Philip Johnson,People,Philip_Johnson
He founded the political newspaper Il Risorgimento in Piedmont.,"He was the first Prime Minister of a unified Italy, ruling only three months.",This count was a leading statesman behind Italian unification alongside Giuseppe Garibaldi.,"Camillo Benso, Count of Cavour",People,"Camillo_Benso,_Count_of_Cavour"
His poetry anticipated movements like Cubism and Futurism.,This French symbolist poet inspired Surrealism and Dadaism.,"This writer, born Étienne, adopted the pen name Stéphane.",Stéphane Mallarmé,People,Stéphane_Mallarmé
Epicureanism from classical antiquity embraced this doctrine and promoted atomism.,Consciousness arises solely from brain chemistry according to proponents of this philosophy.,"Contrasted with idealism, this monist belief asserts matter is the fundamental nature of reality.",Materialism,Philosophy/Religion,Materialism
"Texts about this practice emerged between the ninth and eleventh centuries, originating in Tantra traditions.",Patanjali wrote definitive classical sutras outlining this practice.,"This Indian discipline combines postures and meditation, often practiced today for fitness and relaxation.",Yoga,Philosophy/Religion,Yoga
This syllable symbolizes divine essence and begins Samavedic chants.,"Often chanted in meditation, it's called Pranava and Onkara.","Represented by ॐ, it is sacred in Hinduism, Buddhism, and Jainism.",Om,Philosophy/Religion,Om
Frances Yates and Antoine Faivre pioneered its modern academic study.,"It influenced the Theosophical Society, Rosicrucianism, and the Hermetic Order of the Golden Dawn.","This broad tradition includes Hermeticism, Gnosticism, Christian Kabbalah, occultism, and neopaganism.",Western esotericism,Philosophy/Religion,Western_esotericism
"Its name derives from a Greek term meaning ""sleeping place.""","Originally referring to Roman catacombs, it often contains crematoria.","Commonly called a graveyard, it is typically where funeral rites occur.",Cemetery,Philosophy/Religion,Cemetery
"At crystalline levels, dislocations cause this irreversible deformation.","Beyond yield strength, this deformation leads to permanent changes in shape.",It occurs when ductile metals are bent or molded past their elastic limits.,Plastic deformation,Physical Sciences,Plasticity_(physics)
"This mineral forms nearly all of anorthosite, an igneous rock.",The plagioclase variety of this mineral contains calcium and sodium ions.,"Making up roughly 60% of Earth's crust, it's the most abundant mineral group.",feldspar,Physical Sciences,Feldspar
Histosols primarily consist of this organic material formed under anaerobic wetland conditions.,This substance precedes lignite in fossil fuel formation and accumulates in pocosins and fens.,Sphagnum moss contributes heavily to this material widely harvested for gardening and fuel.,Peat,Physical Sciences,Peat
Olympus Mons on Mars is the tallest known example of this geological feature.,Mauna Kea is considered Earth's tallest type of this feature when counting underwater terrain.,Mount Everest is the highest example of this landform on Earth's surface.,Mountain,Physical Sciences,Mountain
"This supercontinent formed from Gondwana, Euramerica, and Siberia approximately 335 million years ago.","It existed alongside the oceans Panthalassa and Paleo-Tethys, and broke apart 200 million years ago.","Named by geologists, it was Earth's most recent supercontinent and notably C-shaped.",Pangaea,Physical Sciences,Pangaea
"Its name traces back to the Latin term meaning ""to pile up.""","In 2019, it accounted for about 20% of U.S. industrial fatalities.","By 2022, spending in this industry surpassed 11 trillion dollars globally.",Construction,Society/Social Sciences,Construction
Scholars in this academic discipline analyze political thought and governmental systems.,"This social science examines constitutions, political behaviors, and activities related to governance.",Specialists in this field are called political scientists.,Political science,Society/Social Sciences,Political_science
This ethnoreligious group arose from Iron Age Israelites practicing Yahwism.,"Ashkenazim, Sephardim, and Mizrahim form its main ethnic subdivisions.",Members of this group experienced the Holocaust and founded the state of Israel.,Jews,Society/Social Sciences,Jews
They inspired the dictionary order (gojūon) of Japanese kana.,"Derived from ancient India's Brahmi script, they include various abugida writing systems.","These scripts are widely used for Indo-Aryan, Dravidian, and Austroasiatic language families.",Brahmic (or Indic) scripts,Society/Social Sciences,Brahmic_scripts
This practice historically utilized routes like the Amber Road and Uttarapatha trade networks.,"Its complexities include currency differences, judicial system variations, and government trade policies.",This exchange of goods and services across borders is facilitated today by the WTO.,International trade,Society/Social Sciences,International_trade
"This field's early funding fluctuations caused periods commonly called ""winters.""","Its ""transformer"" architecture greatly accelerated research progress from 2017 onwards.","Notable examples include ChatGPT, Siri, and Waymo autonomous vehicles.",Artificial Intelligence (accept AI),Technology,Artificial_intelligence
"Ninth-century Persia saw the first horizontal, or ""panemone,"" type of these structures.",Roughly one thousand of these iconic structures still stand in today's Netherlands.,"They traditionally converted wind into rotational energy, often to process grain into flour.",Windmills,Technology,Windmill
This electromechanical device may form a physical interface in OSI model networking.,"It is commonly categorized by gender, defined as either male or female.","This device links cables and circuits, classified as inline, chassis, PCB mount, or splice.",Electrical connector,Technology,Electrical_connector
"Practiced since ancient times, it initially involved spindle and distaff.",A 13th-century wheel greatly improved efficiency of this textile craft.,The Industrial Revolution mechanized this art of twisting fibers into yarn.,Spinning,Technology,Hand_spinning
Early forms of this weapon launched spherical projectiles during Greek siege warfare.,"Its mechanics relied on twisted skeins providing torsion, rather than on tension prods.",Smaller versions of this projectile launcher are known as the scorpio or polybolos.,Ballista,Technology,Ballista
